query,true_output_main,true_output_sub,model_output_main,model_output_sub
打车去大梅沙滨海公园,,,,
打车去民乐,,,,
我要从家/公司去动物园,特快车,特惠快车,特快车,特惠快车
麻烦帮我打专车到海底捞,品质专车,神州专车,品质专车,神州专车
给我打个六座车去朱三家龙虾吃饭,六座商务,,六座商务,
能帮我打个拼车去景枫中心吗,拼车,极速拼车,拼车,极速拼车
请帮我叫个专车,品质专车,神州专车,品质专车,神州专车
帮我打出租车去机场费用要100以内,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出组,出租车,聚的新出租，聚优出租
请帮我打出租车去银杏湖乐园打车费要90左右,出租车,聚优出租，鞍马聚的新出租,出租车,聚优出租，鞍马聚的新出租
五个人准备去水游城,,,,
打个出租车去省医院,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出组,出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租
帮我叫个不超过30的t3车到情侣园,,T3出行,,T3出行
帮我打个拼车回家,拼车,极速拼车,拼车,极速拼车
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,拼车,极速拼车,拼车,极速拼车
帮我打个车回家,,,,
给我打个200块钱以下的车去句容/翠林水城,,,,
我想打车去科技馆,,,,
给我打个出租车去南京站,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出组,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
打车去民乐,,,,
打车去大梅沙滨海公园,,,,
打车去观澜版画村,,,,
打车去福田站,,,,
打车去深圳大学,,,,
打车去梅村,,,,
打车去白石龙,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去龙岗大道,,,,
打车去阿里中心,,,,
打车去卓越后海,,,,
打车去留仙洞,,所有车型,,所有车型
打车去小梅沙,拼车,远途极速拼,拼车,远途极速拼
打车去龙华福茂新村4栋,特惠快车,特惠快车,特惠快车,特惠快车
打车去深圳北站,经济型,极速拼车，特惠快车,经济型,特价拼车，特惠快车
打车去梅林关,特快车,特惠快车,特快车,特惠快车
打车去世界之窗,优享型,,优享型,
车去莲花公园,六座商务,,六座商务,
打车去梅村,"出租车, 优享型",聚的新出组，深圳出租,"出租车, 优享型","聚的新出租, 深圳出租"
打车去洪浪北站,六座商务,极速拼车,六座商务,极速拼车
打车去先科花园,"特快车, 经济型",特惠快车，极速拼车,"特快车, 经济型","特惠快车, 极速拼车"
打车去莲花山公园,"轻享专车, 豪华型",神州专车,"轻享专车, 豪华型",神州专车
打车去深圳东站,极速拼车,极速拼车,极速拼车,极速拼车
打车去莲花山公园,,曹操出行,,曹操出行
打车去大梅沙,,斑马快跑,,斑马快跑
打车去小梅沙,特惠快车,特惠快车,特快车,特惠快车
打车去深圳会展中心,,飞嘀打车,,飞嘀打车
打车去玉龙新村,,神州专车,,神州专车
打车去白石龙地铁站,,阳光出行,,阳光出行
打车去民治地铁站,,妥妥E行,,妥妥E行
打车去红山地铁站,,5U出行,,5U出行
打车去天文台,,全民GO,,全民GO
打车去维也纳酒店,,享道出行,,享道出行
打车去元芬地铁站,,首汽约车,,首汽约车
打车去红山地铁站,,聚的新出租,,聚的新出租
打车去陶吓新村,,深圳出租,出租车,深圳出租
打车去龙胜村,,阳光出行,,阳光出行
打车去创业花园,,中交出行,,中交出行
打车去到梅村,,所有车型,,所有车型
打车去深圳北站,,所有车型,,所有车型
打车去天文台,,所有车型,,所有车型
打车去民治地铁,,所有车型,,所有车型
打车去五和地铁站,,所有车型,,所有车型
打车去欢乐海岸,豪华型,及时用车,豪华型,及时用车
打车去深圳北站,,阳光出行,,阳光出行
打车去深圳会展中心,,曹操出行,,曹操出行
打车去民乐地铁站,,斑马快跑,,斑马快跑
打极速拼车和六座豪华车去深业上城,"极速拼车, 六座豪华车",极速拼车,"极速拼车,六座豪华车",极速拼车
打车去宝安机场,"极速拼车, 特惠快车, 六座专车",特惠快车,极速拼车，特惠快车，六座专车,特惠快车，远途极速拼
打车去深圳东站,六座商务,神州专车,六座商务,神州专车
打车去民治地铁口,惠享专车，轻享专车,神州专车,惠享专车，轻享专车,神州专车
打车去大梅沙滨海公园,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去卓越后海,,,,
打车去小梅沙,特价,特惠快车,特价,特惠快车
打车去深圳北站,快速,滴滴快车，特惠快车，滴滴特快,快速,特惠快车，滴滴快车，滴滴特快
打车去大梅沙滨海公园,,,,
打车去民乐,,,,
我要从家/公司去动物园,特快车,特惠快车,特快车,特惠快车
麻烦帮我打专车到海底捞,品质专车,神州专车,品质专车,神州专车
给我打个六座车去朱三家龙虾吃饭,六座车,,六座,
能帮我打个拼车去景枫中心吗,拼车,极速拼车,拼车,极速拼车
请帮我叫个专车,品质专车,神州专车,品质专车,神州专车
帮我打出租车去机场费用要100以内,出租车,"聚优出租,南京出租,腾飞新出租,鞍马聚的新出租",出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租
请帮我打出租车去银杏湖乐园打车费要90左右,出租车,"聚优出租,南京出租,鞍马聚的新出租",出租车,聚优出租，南京出租，鞍马聚的新出租
五个人准备去水游城,,,,
打个出租车去省医院,出租车,"聚优出租,南京出租,腾飞新出租,鞍马聚的新出租",出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
帮我叫个不超过30的t3车到情侣园,,T3出行,,T3出行
帮我打个拼车回家,拼车,,拼车,远途极速拼
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,拼车,极速拼车,拼车,极速拼车
帮我打个车回家,,,,
给我打个200块钱以下的车去句容/翠林水城,,,,
我想打车去科技馆,,,,
给我打个出租车去南京站,出租车,,出租车,
打车去民乐,,,,
打车去大梅沙滨海公园,,,,
打车去观澜版画村,,,,
打车去福田站,,,,
打车去深圳大学,,,,
打车去梅村,,,,
打车去白石龙,,,,
打车去新莲大厦,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去龙岗大道,,,,
打车去阿里中心,,,,
打车去卓越后海,,,,
打车去留仙洞,,所有车型,,所有车型
打车去小梅沙,拼车,远途极速拼,拼车,远途极速拼
打车去龙华福茂新村4栋,特惠快车,特惠快车,特惠快车,特惠快车
打车去深圳北站,经济型,特惠快车，极速拼车,经济型,特价拼车，特惠快车
打车去梅林关,特快车,特惠快车,特快车,特惠快车
打车去世界之窗,优享型,,优享型,
打车去五和地铁口,豪华车,,豪华车,
车去莲花公园,六座商务,,六座商务,
打车去梅村,"出租车,优享型","聚的新出租,深圳出租","出租车, 优享型",聚的新出租，深圳出租
打车去洪浪北站,六座商务,极速拼车,六座商务,极速拼车
打车去先科花园,"特快车, 经济型",特惠快车，极速拼车,"特快车, 经济型","特惠快车, 极速拼车"
打车去莲花山公园,"轻享专车,豪华型",神州专车,轻享专车，豪华型,神州专车
打车去深圳北站,,T3出行,,T3出行
打车去深圳东站,极速拼车,极速拼车,极速拼车,极速拼车
打车去莲花山公园,,曹操出行,,曹操出行
打车去大梅沙,,斑马快跑,,斑马快跑
打车去小梅沙,特快车,特惠快车,特快车,特惠快车
打车去深圳会展中心,,飞嘀打车,,飞嘀打车
打车去玉龙新村,,神州专车,,神州专车
打车去梅林关地铁站,及时用车,,及时用车,
打车去白石龙地铁站,,阳光出行,,阳光出行
打车去民治地铁站,,妥妥E行,,妥妥E行
打车去红山地铁站,,5U出行,,5U出行
打车去天文台,,全民GO,,全民GO
打车去维也纳酒店,,享道出行,,享道出行
打车去元芬地铁站,,首汽约车,,首汽约车
打车去上芬地铁站,,如祺出行,,如祺出行
打车去红山地铁站,,聚的新出租,,聚的新出租
打车去陶吓新村,,深圳出租,出租车,深圳出租
打车去龙胜村,,阳光出行,,阳光出行
打车去创业花园,,中交出行,,中交出行
打车去到梅村,,所有车型,,所有车型
打车去深圳北站,,所有车型,,所有车型
打车去天文台,,所有车型,,所有车型
打车去民治地铁,,所有车型,,所有车型
打车去五和地铁站,,所有车型,,所有车型
打车去欢乐海岸,豪华型,及时用车,豪华型,及时用车
打车去深圳北站,,阳光出行,,阳光出行
打车去深圳会展中心,,曹操出行,,曹操出行
打车去红山地铁站,,T3出行,,T3出行
打车去民乐地铁站,,斑马快跑,,斑马快跑
打极速拼车和六座豪华车去深业上城,"极速拼车, 六座豪华车",极速拼车,"极速拼车,六座豪华车",极速拼车
打车去宝安机场,"极速拼车, 特惠快车, 六座专车","特惠快车,远途极速拼","极速拼车,特惠快车,六座专车","特惠快车,远途极速拼"
打车去深圳东站,六座商务,神州专车,六座商务,神州专车
打车去民治地铁口,轻享专车，惠享专车,神州专车,惠享专车，轻享专车,神州专车
打车去大梅沙滨海公园,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去卓越后海,,,,
打车去小梅沙,特价,特惠快车,特价,特惠快车
打车去梅村,"快速车, 舒适车型","滴滴快车,特惠快车,滴滴特快",快速，舒适,特惠快车，滴滴快车，滴滴特快，出租车
打车去洪浪北站,"特价车, 六座车型",六座豪华车，特惠快车，六座专车,特价，六座,六座专车，特惠快车
打车去先科花园,"快速车, 特价车, 舒适车型",特惠快车,"特价车,快速车,舒适车型","特惠快车,滴滴快车,滴滴特快"
打车去深圳北站,快速,特惠快车，滴滴快车，滴滴特快,快速,特惠快车，滴滴快车，滴滴特快
打车去到梅村,,所有车型,,
打车去深圳北站,,所有车型,,所有车型
打车去民乐,,,,
我要从家/公司去动物园,特快车,特惠快车,特快车,特惠快车
麻烦帮我打专车到海底捞,品质专车,神州专车,品质专车,神州专车
请帮我叫个专车,品质专车,神州专车,品质专车,神州专车
帮我打出租车去机场费用要100以内,出租车,腾飞新出租，聚优出租，南京出租，鞍马聚的新出租,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
请帮我打出租车去银杏湖乐园打车费要90左右,出租车,聚优出租，鞍马聚的新出租,出租车,聚优出租，鞍马聚的新出租
打个出租车去省医院,出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
帮我打个拼车回家,拼车,极速拼车,拼车,极速拼车
给我打个出租车去南京站,出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
帮我打个拼车回家,拼车,极速拼车,拼车,极速拼车
打个差不多30块钱的车去汉堡王/泰妃殿,,,,
给我打出租车去南京站,出租车,特快出租车，出租车,出租车,特快出租车，出租车
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,拼车,极速拼车,拼车,极速拼车
请帮我叫个专车,专车,滴滴专车，六座专车,专车,六座专车，滴滴专车
给我打个六座车去朱三家龙虾吃饭,六座,六座专车,六座,六座专车
麻烦帮我打专车到海底捞,专车,滴滴专车，六座专车,专车,六座专车，滴滴专车
我要从家/公司去动物园,快速,特惠快车，滴滴快车，特快出租车，滴滴特快,快速,特惠快车，滴滴快车，滴滴特快，特快出租车
5个人准备去水游城吃饭,,,,
打个出租车去省医院,出租车,特快出租车，出租车,出租车,特快出租车，出租车
叫 个 优 享 车,优享车,,优享车,
派辆商务车给我去中央商场,商务车,,商务车,
帮我打个50块以下的车去老门东/公司,,,,
帮我打个滴滴特快车/特惠快车/最快的车去机场,"特快车, 特惠快车",,"特惠快车,滴滴特快","特惠快车,滴滴特快"
帮我打个车回家,,,,
给我打出租车去南京站,出租车,特快出租车，出租车,出租车,特快出租车，出租车
给我打个200块钱以下的车去句容/翠林水城,,,,
我想打车去科技馆,,,,
能帮我打个拼车去景枫中心吗,拼车,极速拼车,拼车,极速拼车
打六座车去中山陵,六座车,,六座,
帮我打去动物园,,,,
给我打个出租车去南京站,出租车,特快出租车，出租车,出租车,特快出租车，出租车
请帮我打车去夫子庙景区,,,,
帮我打出租车去机场,出租车,特快出租车，出租车,出租车,特快出租车，出租车
请帮我打出租车去银杏湖乐园,出租车,特快出租车，出租车,出租车,特快出租车，出租车
帮我叫个不超过30的车到情侣园,,,,
打个最便宜的车去植物园,,,,
用 高德 叫 个 豪 华 车,豪华车,,豪华车,
叫一辆六座商务型车去渡江路10号,六座商务型车,,六座商务型车,
从静安寺到外滩,快车,特惠快车，滴滴快车，滴滴特快,快速,"特惠快车,滴滴快车,滴滴特快,特快出租车"
拼车去杭州西湖,拼车,极速拼车,拼车,极速拼车
打车去荷雨臻悦,,,,
帮我打个拼车回家,拼车,极速拼车,拼车,极速拼车
打个差不多30块钱的车去汉堡王/泰妃殿,,,,
给我打出租车去南京站,出租车,腾飞新出租，聚优出租，南京出租，鞍马聚的新出租,出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,拼车,极速拼车,拼车,极速拼车
请帮我叫个专车,品质专车,神州专车,品质专车,神州专车
给我打个六座车去朱三家龙虾吃饭,六座商务,,六座商务,
麻烦帮我打专车到海底捞,品质专车,神州专车,品质专车,神州专车
我要从家/公司去动物园,特快车,特惠快车,特快车,特惠快车
5个人准备去水游城吃饭,,,,
打个出租车去省医院,出租车,腾飞新出租，聚优出租，南京出租，鞍马聚的新出租,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
叫 个 优 享 车,优享型,,优享型,
派辆商务车给我去中央商场,六座商务,,六座商务,
帮我打个50块以下的车去老门东/公司,,,,
帮我打个滴滴特快车/特惠快车/最快的车去机场,"特快车, 特惠快车",,"特惠快车,滴滴特快","特惠快车,滴滴特快"
帮我打个车回家,,,,
给我打出租车去南京站,出租车,腾飞新出租， 聚优出租 ，南京出租，鞍马聚的新出租,出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租
给我打个200块钱以下的车去句容/翠林水城,,,,
我想打车去科技馆,,,,
能帮我打个拼车去景枫中心吗,拼车,极速拼车,拼车,极速拼车
打六座车去中山陵,六座车,,六座,
帮我打去动物园,,,,
给我打个出租车去南京站,出租车,,出租车,
请帮我打车去夫子庙景区,,,,
帮我打出租车去机场,出租车,,出租车,
请帮我打出租车去银杏湖乐园,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
帮我叫个不超过30的车到情侣园,,,,
打个最便宜的车去植物园,,,,
用 高德 叫 个 豪 华 车,豪华车,,豪华车,
叫一辆六座商务型车去渡江路10号,六座商务型车,,六座商务型车,
从静安寺到外滩,特快车,,特快车,特惠快车，轻快联盟
拼车去杭州西湖,拼车,极速拼车,拼车,极速拼车
打车去荷雨臻悦,,,,
打车去金地威新,,,,
五分钟内给我打一辆去南京第一医院的车,,,,
叫辆车去雨花西路幼儿园,,,,
打车去万博科技园,,,,
打车去软件大道地铁站,,,,
我要去厅后街3号,,,,
打的去东南大学鼓楼校区,,,,
打辆车去雨花台实验小学,,,,
打车去南京航空航天大学,,,,
帮我打一辆5分钟内去虹悦城的车,,,,
从公司打的去禄口机场,,,,
从我家打车去公司,,,,
帮我打车,,,,
给我叫辆去金鹰的车,,,,
打车去莫愁湖公园,,,,
叫车去南京南,,,,
从南京站打车去鸡鸣寺,,,,
打车去紫金山,,,,
从大行宫地铁站打车去南京博物馆,,,,
从商场出发,,,,
需要在15分钟内打车到机场,,,,
打车去海边,,,,
从黄兴广场打车去五一广场,,,,
打车去白沙古镇,,,,
给我叫辆车去南京省中医院,,,,
打车去故宫博物院,,,,
从北京朝阳区打车到首都机场,,,,
在上海陆家嘴打车去虹桥火车站,,,,
广州天河CBD打车到白云机场,,,,
成都春熙路附近打车到双流机场,,,,
打车到宝安国际机场,,,,
杭州西湖景区打车去萧山机场,,,,
西安钟楼附近到咸阳机场,,,,
武汉光谷广场打车到天河机场,,,,
打车到重庆解放碑,,,,
长沙五一广场到黄花机场,,,,
厦门鼓浪屿码头到高崎机场,,,,
打车去公司,,,,
打车去新街口,,,,
打车去燕子矶,,,,
打一辆快车去火车站,快速，特惠快车，特快车,特惠快车，滴滴快车，特快车,快速，特惠快车，特快车,特惠快车，滴滴快车，特快车
从南京江宁区去南京浦口区,,,,
需要一辆出租车,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
预约拼车,拼车，特价拼车,特价拼车，极速拼车，,拼车，特价拼车,特价拼车，极速拼车
拼车去公司,拼车，特价拼车,特价拼车，极速拼车，,拼车，特价拼车,特价拼车，极速拼车
需要一辆顺风车,顺风车,,顺风车,
3分钟内,,,,
去南京浦口区,,,,
我在南京南京大学,豪华轿车,滴滴豪华车,豪华轿车,滴滴豪华车
打车去夫子庙,,,,
10分钟内给我打一辆去中山陵的车,,,,
叫辆车去南京博物院,,,,
打车去南京大学,,,,
打车去新街口,,,,
我要去总统府,,,,
打的去南京师范大学,,,,
打辆车去侵华日军南京大屠杀遇难同胞纪念馆,,,,
打车去南京林业大学,,,,
帮我打一辆6分钟内去德基广场的车,,,,
从家里打的去南京南站,,,,
从我现在的位置打车去公司,,,,
帮我打车,,,,
给我叫辆去1912街区的车,,,,
打车去玄武湖公园,,,,
叫车去南京站,,,,
从夫子庙打车去老门东,,,,
打车去栖霞山,,,,
从珠江路地铁站打车去紫峰大厦,,,,
预约9点从酒店出发,,,,
需要在13分钟内打车到机场,,,,
打车去紫金山天文台,,,,
从夫子庙打车去秦淮河,,,,
打车去高淳老街,,,,
给我叫辆车去南京医科大学,,,,
打车去朝天宫,,,,
从南京奥体中心打车到禄口机场,,,,
在新街口打车去南京博物院,,,,
南京河西CBD打车到南京站,,,,
南京夫子庙附近打车到南京南站,,,,
打车到南京禄口国际机场,,,,
南京中山陵景区打车去南京站,,,,
预约周日上午7点整,,,,
南京仙林大学城打车到南京站,,,,
打车到南京新街口,,,,
南京雨花台景区到南京南站,,,,
打车去南京明孝陵,,,,
8分钟内给我打一辆去南京海底世界的车,,,,
叫辆车去南京红山森林动物园,,,,
预约7,专车,滴滴专车，六座专车,专车,六座专车，滴滴专车
打车去南京工业大学,,,,
我要去南京艺术学院,,,,
打的去南京邮电大学,,,,
打辆车去南京中医药大学,,,,
打车去南京审计大学,,,,
帮我打一辆7分钟内去南京万达广场的车,,,,
从公司打的去南京禄口机场,,,,
从我家打车去公司,,,,
帮我打车,,,,
给我叫辆去南京新街口的车,,,,
帮我打车去百家湖,,,,
拼个晚上7点到达南京南站的车,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
预约21,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
3个人去雨花台区政府,专车,滴滴专车，六座专车,专车,滴滴专车，六座专车
从这拼车去南京站贵吗,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
叫辆顺风车,顺风车,,顺风车,
查找去南京软件谷的顺风车,顺风车,,顺风车,
叫一辆去东南大学四牌楼校区的出租车,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
打车去江宁织造府,拼车，快速，舒适出发，六座，特快车，出租,极速拼车，花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,经济，快速，舒适出发，六座，特快车，出租，拼车,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，极速拼车，365约车，聚优出租，特快车，出租车
有没有去羊山公园的6座商务车,商务车,,六座商务车,
两人去雨花吾悦广场,经济，特价，特惠快车，特价拼车,特价拼车，特惠快车,经济型车,
我要去砂之船奥莱,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
打车去六角广场,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
打的到玄武湖景区,舒适出发,,舒适出发,
叫辆车去玄武湖公园,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，花小猪外接版，365约车，聚优出租，特快车，出租车
从贾西地铁站打车去雨花客厅,六座,六座专车,六座,六座专车
打辆去南京南站的特价车,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
打车去德基广场,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
叫辆特快出租车从南京林业大学到鸡鸣寺,特快出租车,特快出租车,特快出租车,特快出租车
叫辆六座专车去新街口,六座,六座专车,六座,六座专车
