query,true_output_main,true_output_sub,model_output_main,model_output_sub
打车去橘子洲,可以接受拼车,,可以拼车,
打车去洱海,"可以接受拼车, 可以接受顺风车",,拼车，顺风车,特价拼车，极速拼车
打辆特惠快车去武汉大学,特惠快车,特惠快车,特惠快车,特惠快车
打车去万达广场,拼车，特价拼车,特价拼车，极速拼车，滴滴专车，六座专车,专车，拼车,六座专车，特价拼车，极速拼车
五个人叫辆六座专车去中山陵,六座,六座专车,六座,六座专车
打车去鼓楼医院,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
给我叫辆出租车,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
从天津之眼打车到滨海国际机场,商务车,,商务车型,
在青岛五四广场打车去崂山景区,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
郑州东站到国际会展中心打车,七座MPV,,七座MPV,
合肥政务区打车到新桥机场,豪华轿车,滴滴豪华车,豪华轿车,滴滴豪华车
宁波老外滩到舟山跨海大桥,SUV,,SUV,
福州三坊七巷到长乐机场,专车,,专车,滴滴专车，六座专车
打车去滇池,拼车，特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租，特价拼车,特价拼车，极速拼车，花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，六座专车，365约车，聚优出租，特快车，出租车,"经济,特价,快速,舒适出发,六座,拼车,特惠快车,特快车,出租","特价拼车,特惠快车,滴滴快车,特快出租车,极速拼车,特快车,花小猪外接版,365约车,聚优出租,出租车"
打车去滕王阁,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
沈阳故宫到桃仙机场,双语服务车型,,双语服务车型,
石家庄正定古城打车去正定机场,无障碍车型,,无障碍车型,
打车到哈尔滨中央大街,拼车，特价，舒适出发，六座，经济，出租，特价拼车,特价拼车，极速拼车，花小猪外接版，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，出租车，特价拼车,特价，舒适出发，六座，拼车，特惠快车，特快车，经济，特价拼车,花小猪外接版，特惠快车，特快出租车，极速拼车，365约车，聚优出租，特快车，特价拼车，滴滴豪华车，六座专车，出租车
海口骑楼老街到美兰机场,货车,,货车,
打车到乌鲁木齐国际大巴扎,舒适出发,,舒适出发,
拼车去玄武湖,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
要一辆中高端的七座MPV去雨花客厅,七座MPV,,七座MPV,
拼车去玄武湖,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
打一辆快车去公司,快速，特惠快车，特快车,特惠快车，滴滴快车，特快出租车，特快车,快速,特惠快车，特快出租车，滴滴快车，特快车
需要一辆快车,快速，特惠快车，特快车,特惠快车，滴滴快车，特快出租车，特快车,快速,特惠快车，滴滴快车，特快出租车，特快车
拼车去金牛湖,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
打一辆车租车去百家湖小学,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
从南京紫金山到南京牛首山,商务型专车,,商务型专车,
打车去南京河海大学,豪华轿车,滴滴豪华车,豪华轿车,滴滴豪华车
打车去公司,,,,
打一辆豪华专车回家,豪华专车,,豪华专车,
打车去六角广场,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
打的到玄武湖景区,舒适出发,,舒适出发,
叫辆车去玄武湖公园,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，花小猪外接版，365约车，聚优出租，特快车，出租车
从贾西地铁站打车去雨花客厅,六座,六座专车,六座,六座专车
拼个晚上8点到达南京站的车,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
预约22点从家到公司的特价车,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
4个人去南京市政府,专车,滴滴专车，六座专车,专车,滴滴专车，六座专车
从这拼车去南京南站贵吗？,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
叫辆顺风车,顺风车,,顺风车,
查找去南京河西CBD的顺风车,顺风车,,顺风车,
叫一辆去南京大学仙林校区的出租车,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
打车去南京博物院,拼车，快速，舒适出发，六座，特快车，出租,极速拼车，花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,经济，快速，舒适出发，六座，特快车，出租，拼车,花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，特快车，聚优出租，极速拼车，出租车
有没有去紫金山天文台的7座商务车？,7座商务车,,商务车,
两人去南京新街口,经济，特价，特惠快车，特价拼车,特价拼车，特惠快车,经济型车,
我要去南京夫子庙,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
打车去南京雨花台,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
打的到南京总统府,舒适出发,,舒适出发,
叫辆车去南京明孝陵,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
从南京站打车去南京博物院,六座,六座专车,六座,六座专车
打辆去南京禄口机场的特价车,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
打车去南京金鹰广场,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
叫辆特快出租车从南京工业大学到南京师范大学,特快出租车,特快出租车,特快出租车,特快出租车
叫辆七座专车去南京河西万达广场,七座专车,,七座专车,
打车去南京栖霞山,可以接受拼车,,拼车，特价拼车,特价拼车，极速拼车
打车去南京高淳老街,"可以接受拼车, 可以接受顺风车",,拼车，顺风车,
打辆特惠快车去南京林业大学,特惠快车,特惠快车,特惠快车,特惠快车
打车去南京鼓楼医院,拼车，特价拼车,特价拼车，极速拼车，滴滴专车，六座专车,专车，拼车,六座专车，特价拼车，极速拼车
六个人叫辆七座专车去南京夫子庙,七座专车,,七座专车,
打车去南京中山陵,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
给我叫辆出租车,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
从南京奥体中心打车到南京禄口机场,商务车型,,商务车型,
在南京新街口打车去南京博物院,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
南京站到南京国际展览中心打车,七座MPV,,七座MPV,
南京夫子庙打车到南京禄口机场,豪华轿车,滴滴豪华车,豪华轿车,滴滴豪华车
南京河西万达广场到南京长江大桥,SUV,,SUV,
南京三坊七巷到南京禄口机场,专车,,专车,滴滴专车，六座专车
打车去南京秦淮河,拼车，特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租，特价拼车,特价拼车，极速拼车，花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，六座专车，365约车，聚优出租，特快车，出租车,不要豪华车,
打车去南京夫子庙,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
南京总统府到南京禄口机场,双语服务车型,,双语服务车型,
拼个晚上9点到达南京南站的车,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
预约22,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,特价，特惠快车，特价拼车,特价拼车，特惠快车
5个人去雨花台区政府,专车,滴滴专车，六座专车,专车,滴滴专车，六座专车
从这拼车去南京站贵吗？,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
叫辆顺风车,顺风车,,顺风车,
查找去南京软件谷的顺风车,顺风车,,顺风车,
叫一辆去东南大学四牌楼校区的出租车,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
打车去江宁织造府,拼车，快速，舒适出发，六座，特快车，出租,极速拼车，花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,经济，快速，舒适出发，六座，特快车，出租，拼车,花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，极速拼车，出租车
有没有去羊山公园的8座商务车？,商务车,,商务车,
两人去雨花吾悦广场,经济，特价，特惠快车，特价拼车,特价拼车，特惠快车,经济型车,特惠快车
我要去砂之船奥莱,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
叫个车去公司,,,,
打最便宜的车去明基医院,,,拼车，特价拼车,特价拼车，极速拼车
叫一辆20以内的专车,专车,滴滴专车、六座专车,专车,六座专车
拼个车去新街口,拼车、特价拼车,特价拼车、极速拼车,拼车，特价拼车,特价拼车，极速拼车
去油坊桥地铁站最便宜的专车多少钱,专车,滴滴专车、六座专车,专车,六座专车
给我找一辆3分钟内可以上车的专车,专车,专车,专车,六座专车
去南京理工大,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，特惠快车，六座，出租，特快车，经济,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车
10分钟内能不能来一辆专车送我去火车站,专车,滴滴专车、六座专车,专车,六座专车
打车去清凉山,出租,特快出租车、聚优出租、出租车,出租,"特快出租车,聚优出租,出租车"
去金城花园,,,,
以最低价格打车去中胜地铁站,拼车、特价、快速、舒适出发、特惠快车、经济、特快车、出租、特价拼车,特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、特惠快车、365约车、聚优出租、特快车、出租车,,
10分钟内来一辆六坐商务车去机场,六坐商务车,,六坐商务车,
20以内打车去新城科技园,,,,
打车去东南大学,出租,特快出租车、聚优出租、出租车,出租,特快出租车，聚优出租，出租车
从武汉大学打车去高铁站,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、365约车、聚优出租、特快车、出租车
叫辆六座专车去黄兴广场,六座,六座专车,六座,六座专车
打车去总统府,拼车、特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租、特价拼车,特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,拼车，特价拼车,特价拼车，极速拼车
打车去江苏省口腔医院,拼车、特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租、特价拼车,特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,可以拼车,
从南京南站打车去机场,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，特惠快车，六座，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
打车去河西龙湖天街,出租,特快出租车、聚优出租、出租车,出租,"特快出租车,聚优出租,出租车"
打车去碧海蓝天,拼车、特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租、特价拼车,特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,拼车，特价拼车,特价拼车，极速拼车
从翠林水城打车去高铁站,特快出租车,特快出租车,特快出租车,特快出租车
打车去吾悦广场,可以接受带宠物的车,,,
打车去西湖,特快出租车,特快出租车,特快出租车,特快出租车
两个人打车去万象天地,,,带宠物,
打车去新街口,商务车,,商务车,
从成都宽窄巷子打车到熊猫基地,拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
在长沙五一广场打车去岳麓山南门,快速，特惠快车，特快车,特惠快车，滴滴快车，特快出租车，特快车,快速，特惠快车，特快车,特惠快车，滴滴快车，特快出租车，特快车
厦门中山路打车到曾厝垵民宿,舒适出发,六座专车，滴滴专车,舒适出发,
打车到李子坝轻轨站,七座车,,七座车,
西安回民街打车去大唐不夜城,新能源车,,新能源车,
苏州平江路到金鸡湖景区,带儿童座椅,,带儿童座椅车型,
武汉江汉路步行街打车到东湖绿道,特价，特惠快车，经济，特价拼车,特价拼车，特惠快车,经济型,
青岛八大关打车到啤酒博物馆,商务车,,商务车,
杭州河坊街到西溪湿地北门,SUV,,SUV,
沈阳中街打车到棋盘山景区,舒适出发,,舒适出发,
南京夫子庙到玄武湖公园,无障碍车型,,无障碍车型,
天津意式风情街到古文化街,专车,双语服务专车,专车,六座专车
宁波老外滩到天一阁博物馆,带WiFi,,带WiFi车型,
打车去安德门地铁站,,,,
能否帮我叫一辆舒适型SUV去公司,舒适型SUV,,舒适出发,
我想要预约一辆经济型轿车去公司,"经济型轿车, 出租车",聚优出租,经济型轿车，出租车,
需要一辆中高端的七座MPV,七座MPV,,七座MPV,
我需要一辆豪华SUV去参加一个活动,,,豪华SUV,
我现在需要从市中心打车到机场,舒适出发,,舒适出发,
我们有5个人打车去天龙寺地铁站,,,,
我需要一辆豪华型轿车,豪华型轿车,滴滴豪华车,豪华型轿车,滴滴豪华车
我要从南京南京南站打车去南京南京站,七座车,,七座车,
打车去南京南站,,,,
我在南京新街口,出租,出租车，特快出租,出租,特快出租车，聚优出租，出租车
叫个车去公司,,,,
打最便宜的车去明基医院,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，特惠快车，出租，经济，特快车，六座,花小猪外接版，特惠快车，滴滴快车，特快出租车，出租车，滴滴专车，滴滴豪华车，六座专车，特快车
叫一辆25以内的专车,专车,六座专车,专车,六座专车
拼个车去新街口,"拼车,特价拼车","特价拼车,极速拼车",拼车，特价拼车,特价拼车，极速拼车
去油坊桥地铁站最便宜的专车多少钱？,专车,六座专车,专车,六座专车
给我找一辆4分钟内可以上车的专车,专车,六座专车,专车,六座专车
去南京理工大,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，特惠快车，出租，经济，特快车，六座,特价拼车，特惠快车，花小猪外接版，滴滴快车，特快出租车，出租车，滴滴专车，滴滴豪华车，六座专车，特快车
15分钟内能不能来一辆专车送我去火车站？,专车,六座专车,专车,滴滴专车，六座专车
打车去清凉山,出租,"特快出租车,聚优出租,出租车",出租,特快出租车，聚优出租，出租车
去金城花园,,,,
以最低价格打车去中胜地铁站,不要商务车,,,
12分钟内来一辆六坐商务车去机场,六坐商务车,,六坐商务车,
18以内打车去新城科技园,,,,
打车去东南大学,出租,"特快出租车,聚优出租,出租车",出租,特快出租车，聚优出租，出租车
从武汉大学打车去高铁站,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车
叫辆六座专车去黄兴广场,六座专车,六座专车,六座,六座专车
打车去总统府,可以接受拼车,,拼车，特价拼车,特价拼车，极速拼车
打车去江苏省口腔医院,可以接受拼车,,可以拼车,
从南京南站打车去机场,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，特惠快车，六座，经济，特快车，出租,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，特快车，聚优出租
打车去河西龙湖天街,出租,"特快出租车,聚优出租,出租车",出租,特快出租车，聚优出租，出租车
打车去碧海蓝天,可以接受拼车,,拼车，特价拼车,特价拼车，极速拼车
从翠林水城打车去高铁站,特快出租车,特快出租车,特快出租车,特快出租车
打车去吾悦广场,可以接受带宠物的车,,,
打车去西湖,特快出租车,特快出租车,特快出租车,特快出租车
两个人打车去万象天地,,,能带宠物的车,
打车去新街口,商务车,,商务车,
从成都宽窄巷子打车到熊猫基地,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
在长沙五一广场打车去岳麓山南门,快速，特惠快车，特快车,特快出租车，特惠快车，特快车,快速,特惠快车，滴滴快车，特快出租车，特快车
厦门中山路打车到曾厝垵民宿,舒适出发,,舒适出发,六座专车，滴滴专车
打车到李子坝轻轨站,七座车,,七座车,
西安回民街打车去大唐不夜城,新能源车,,新能源车,
苏州平江路到金鸡湖景区,带儿童座椅,,带儿童座椅车型,
武汉江汉路步行街打车到东湖绿道,特价，特惠快车，经济，特价拼车,特惠快车，特价拼车,特价，经济,特价拼车，特惠快车
青岛八大关打车到啤酒博物馆,商务车,,商务车,
杭州河坊街到西溪湿地北门,SUV,,SUV,
沈阳中街打车到棋盘山景区,舒适出发,,舒适出发,
南京夫子庙到玄武湖公园,无障碍车型,,无障碍车型,
叫个车去公司,,,,
打最便宜的车去明基医院,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
叫一辆30以内的专车,专车,六座专车,专车,六座专车
拼个车去新街口,拼车，特价拼车,特价拼车，极速拼车,拼车，特价拼车,特价拼车，极速拼车
去油坊桥地铁站最便宜的专车多少钱？,专车,六座专车,专车,六座专车
给我找一辆5分钟内可以上车的专车,专车,六座专车,专车,六座专车
去南京理工大,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,特价拼车，花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，聚优出租，特快车，出租车
20分钟内能不能来一辆专车送我去火车站？,专车,六座专车,专车,六座专车
打车去清凉山,出租,特快出租车，聚优出租，出租车,出租,特快出租车，聚优出租，出租车
去金城花园,,,,
以最低价格打车去中胜地铁站,拼车，特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租，特价拼车,特价拼车，极速拼车，花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,,
15分钟内来一辆六坐商务车去机场,六坐商务车,,六座商务车,
16以内打车去新城科技园,,,,
