query,可选车型组合,模型输出车型组合,正确车型组合,inference_latency
打个特价拼车去云龙湖，最多15块。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[],0.7616915702819824
银川鼓楼到河东机场，需要一辆干净的车。,"[{'六座': '六座专车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[],[],0.12485313415527344
叫极速拼车去铁西万达广场，价格不超过31元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'拼车': '极速拼车'}],[{'拼车': '极速拼车'}],0.7313177585601807
打车去七里河区，选拼车。,"[{'经济型': '中交出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '如祺出行'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'经济型': '5U出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '享道出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'特快车': 'undefined'}, {'优享型': '首汽约车'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'优享型': 'AA出行'}, {'经济型': '有序出行'}]",[{'': '极速拼车'}],[{'': '极速拼车'}],0.6435811519622803
打特惠快车去机场，费用不超100。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '有序出行'}, {'经济型': '5U出行'}, {'优享型': '全民GO'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'经济型': '北京的士'}, {'经济型': '妥妥E行'}]",[{'': '特惠快车'}],[{'': '特惠快车'}],0.7274155616760254
滴滴叫辆出租车去南京夫子庙秦淮河景区，避开限行路段。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'快速': '出租车'}, {'推荐': '特快出租车'}]","[{'快速': '出租车'}, {'推荐': '特快出租车'}]",1.017608404159546
从上海虹桥火车站到外滩，叫一辆滴滴豪华车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[],[],0.12307882308959961
用特惠快车从家到公司，预算不超过30元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'推荐': '特惠快车'}],[{'推荐': '特惠快车'}],0.7321362495422363
打的去机场，不限车型,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'快速': '丽江新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}]",[],[],0.1427927017211914
高德预约六座专车去莲花山附近的深业上城,"[{'经济型': '中交出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'经济型': '有序出行'}, {'优享型': 'T3出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '中军出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'优享型': 'AA出行'}, {'经济型': '妥妥E行'}]",[],[],0.14687681198120117
用特价拼车去南京南站，费用不超过30元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7467617988586426
打车到回民区，选商务车。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '东潮出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'品质专车': 'undefined'}, {'经济型': '有序出行'}]",[{'六座商务': 'undefined'}],[{'六座商务': 'undefined'}],0.6962707042694092
从解放碑到江北机场，打个六座的车。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],0.7899930477142334
叫个舒适型车去中山陵。,"[{'快速': '滴滴特快'}, {'推荐': '宽敞好车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",1.161087989807129
高德叫辆特快出租车去南京医科大学江宁校区，走最优路线。,"[{'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '如祺出行'}, {'经济型': '及时用车'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'优享型': '环旅出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'经济型': '北京的士'}, {'经济型': '妥妥E行'}]","[{'出租车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': '深圳出租'}, {'经济型': '北京的士'}]","[{'出租车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': '深圳出租'}]",2.1077935695648193
打车去老门东，只要拼车。,"[{'优享型': 'AA出行'}, {'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'优享型': '飞嘀打车'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'经济型': '有序出行'}, {'优享型': 'T3出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'优享型': '首汽约车'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'优享型': '中交出行'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'经济型': '北京的士'}, {'经济型': '妥妥E行'}]",[{'': '极速拼车'}],[{'': '极速拼车'}],0.6444551944732666
叫辆滴滴专车去婚礼现场，要车内整洁，尽快到达。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.2905526161193848
打的去鼓楼急诊，车型不限。,"[{'经济型': '橄榄新出租'}, {'优享型': 'AA出行'}, {'优享型': '曹操出行'}, {'经济型': '北京新出租'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': 'J刻出行'}, {'优享型': '斑马快跑'}, {'经济型': '方舟行'}, {'优享型': '享道出行'}, {'豪华型': '车型高端 服务专业'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'品质专车': '静音不打扰 整洁无异味'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'惠享专车': '及时用车'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'快速出发': '无'}, {'轻享专车': '静音不打扰 整洁无异味'}, {'出租车': '车多应答快'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特价出发': '更多特价'}, {'经济型': '渔阳出行'}, {'特快车': '超值体验 更快上车'}, {'推荐': '极速拼车'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'经济': '首汽约车'}, {'经济型': 'K9用车'}, {'拼车': '出租车拼车'}, {'经济型': '腾飞出行'}, {'六座商务': '宽敞空间 商务体验'}, {'优享型': '及时用车'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'特价出发': '惊喜特价'}, {'经济型': '北京的士'}, {'经济型': '有序出行'}]",[],[],0.1724247932434082
打车去大梅沙，不接受特惠快车。,"[{'六座': '六座专车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}]","[{'六座': '六座专车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}]",6.431158542633057
叫辆六座专车从星海广场到周水子机场，行李较多。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],0.7721564769744873
拼个车去东四，预算30元内。,"[{'优享型': '优e出行特选'}, {'经济型': '中交出行'}, {'经济型': '900出行'}, {'优享型': '曹操出行'}, {'经济型': '东潮出行'}, {'经济型': '国泰出租'}, {'经济型': '神州专车'}, {'特价出发': '更多特价'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'豪华型': '车型高端 服务专业'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'优享型': '阳光出行'}, {'品质专车': '静音不打扰 整洁无异味'}, {'优享型': '环旅出行'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'快速出发': '无'}, {'轻享专车': '静音不打扰 整洁无异味'}, {'经济型': '享道出行'}, {'经济型': '旅程出租'}, {'出租车': '车多应答快'}, {'惠享专车': '曹操出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '渔阳出行'}, {'经济型': '阳光出行'}, {'经济型': '易至出行'}, {'特快车': '超值体验 更快上车'}, {'经济型': '中军出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'经济': '首汽约车'}, {'经济型': 'K9用车'}, {'拼车': '出租车拼车'}, {'惠享专车': 'T3出行'}, {'经济型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'优享型': '及时用车'}, {'优享型': 'AA出行'}, {'推荐': '特惠快车'}]","[{'': '极速拼车'}, {'拼车': '出租车拼车'}]","[{'': '极速拼车'}, {'拼车': '出租车拼车'}]",1.1785595417022705
拼个车去天安门东站。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]","[{'拼车': '极速拼车'}, {'拼车': '特价拼车'}]","[{'拼车': '极速拼车'}, {'拼车': '特价拼车'}]",1.2719171047210693
打的去奥体，车型不限,"[{'经济型': '900出行'}, {'经济型': '北京新出租'}, {'经济型': '国泰出租'}, {'经济型': '如祺出行'}, {'优享型': '享道出行'}, {'推荐': '特惠快车'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'豪华型': '车型高端 服务专业'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'优享型': '阳光出行'}, {'品质专车': '静音不打扰 整洁无异味'}, {'优享型': '环旅出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'快速出发': '无'}, {'轻享专车': '静音不打扰 整洁无异味'}, {'优享型': '风韵出行'}, {'出租车': '车多应答快'}, {'': '特惠快车'}, {'优享型': '首汽约车'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '渔阳出行'}, {'特快车': '超值体验 更快上车'}, {'经济型': '易至出行'}, {'优享型': '星徽出行'}, {'特价出发': '更多特价'}, {'推荐': '极速拼车'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'经济': '首汽约车'}, {'经济型': 'K9用车'}, {'拼车': '出租车拼车'}, {'优享型': '神州专车'}, {'惠享专车': 'T3出行'}, {'经济型': '深圳出租'}, {'经济型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'优享型': '及时用车'}, {'经济型': '奇华出行'}, {'特价出发': '惊喜特价'}, {'优享型': 'AA出行'}, {'经济型': '有序出行'}]",[],[],0.17093920707702637
