query,可选车型组合,模型输出车型组合,正确车型组合,inference_latency
从柳巷到武宿机场，选特价拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7104465961456299
用滴滴叫辆滴滴专车从厦门鼓浪屿码头到高崎机场。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.2401316165924072
从西湖边到萧山机场，叫个特惠快车或特价拼车，预算30元左右。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '特惠快车'}]",1.7821471691131592
叫个曹操出行到胶东国际机场，要极速到达。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'快速': '曹操出行'}],[{'快速': '曹操出行'}],0.6151382923126221
从虹桥火车站到外滩，约一辆滴滴豪华车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}]","[{'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}]",1.25760817527771
要极速拼车回家，不要出租。,"[{'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'优享型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'优享型': '神州专车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'经济型': '北京的士'}]",[{'': '极速拼车'}],[{'': '极速拼车'}],0.6290402412414551
哈尔滨中央大街到太平国际机场，安排个舒适车型。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'舒适': '滴滴专车'}],[{'舒适': '滴滴专车'}],0.6574916839599609
打车去高铁站，勾选所有车型。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '滴滴小巴'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5585944652557373
打车到南京禄口机场，预算70以内。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'经济型': '神州专车'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'经济型': '5U出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '享道出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'品质专车': 'undefined'}, {'经济型': '妥妥E行'}]",[],[],0.15725302696228027
叫辆六座专车去南京中山陵景区，走最短路线。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特惠快车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],0.7793209552764893
从公司到客户那里，叫辆滴滴豪华车。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'舒适': '滴滴豪华车'}],[{'舒适': '滴滴豪华车'}],0.6573119163513184
用滴滴专车从春熙路到双流机场，走机场高速30分钟内到。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.251796007156372
从深圳湾口岸打特惠快车或曹操出行到福田高铁站,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'快速': '曹操出行'}, {'推荐': '特惠快车'}]","[{'快速': '曹操出行'}, {'推荐': '特惠快车'}]",1.1200568675994873
打车到禄口机场，勾选曹操出行、特惠快车或出租车，12分钟内接驾。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '特惠快车'}]","[{'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '特惠快车'}]",1.483748197555542
晚上9点到南京南站，选特价拼车、特惠快车或曹操出行。,"[{'经济型': '中交出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'经济型': '5U出行'}, {'优享型': 'T3出行'}, {'优享型': '阳光出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '北京的士'}]",[{'': '特惠快车'}],[{'': '特惠快车'}],0.6856791973114014
打车去小店区，商务车90内,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': 'AA出行'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'特快车': 'undefined'}, {'经济型': '阳光出行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'优享型': 'AA出行'}]",[{'六座商务': 'undefined'}],[{'六座商务': 'undefined'}],0.6928839683532715
打车去固原，选拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'推荐': '滴滴特快'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'拼车': '极速拼车'}]","[{'拼车': '特价拼车'}, {'拼车': '极速拼车'}]",1.255784034729004
从南宁青秀山到吴圩机场，查下特惠快车、特价拼车和惊喜特价有没有车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}]",1.6564569473266602
从滇池到长水机场，要滴滴专车。,"[{'六座': '六座专车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.2432613372802734
从深圳湾公园用滴滴叫个特惠快车到宝安机场，费用不超过80元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'推荐': '特惠快车'}],[{'推荐': '特惠快车'}],0.7107446193695068
用特惠快车或特价拼车去咸阳国际机场，1小时内到达，费用不超过30元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]",1.2377395629882812
打车去虹桥机场，勾选所有车型。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5587091445922852
打车到南京科技馆，勾选曹操出行、特惠快车或拼车，3分钟内上车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}]",1.651608943939209
打个极速拼车去阅江楼景区东门，25块左右能走吗？,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特惠快车'}]",[],[],0.1228322982788086
从中山路步行街到高崎机场，要特惠快车加特价拼车，优先派车。,"[{'六座': '六座专车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]",1.2400107383728027
叫个曹操出行回家，不能超60。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'快速': '曹操出行'}],[{'快速': '曹操出行'}],0.5940258502960205
预约周日7点出发，勾选特惠快车、曹操出行或拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",2.1932284832000732
打辆滴滴专车去参加朋友聚会。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.2489774227142334
打特价拼车去福田，不能超30,"[{'优享型': 'AA出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'经济型': '妥妥E行'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特快车': 'undefined'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '腾飞出行'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '北京的士'}, {'经济型': '有序出行'}]",[{'': '极速拼车'}],[{'': '极速拼车'}],0.6501288414001465
约个特惠快车或曹操出行去万象城，控制在50元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'快速': '曹操出行'}, {'推荐': '特惠快车'}]","[{'快速': '曹操出行'}, {'推荐': '特惠快车'}]",1.1273829936981201
到禄口机场拼车，100以内。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'优享型': '环旅出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'特快车': 'undefined'}, {'优享型': '星徽出行'}, {'经济型': '旗妙出行'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'经济型': '北京的士'}, {'经济型': '妥妥E行'}]",[{'': '极速拼车'}],[{'': '极速拼车'}],0.6337292194366455
叫特价拼车和曹操出行去高铁站，总费用不超过100元。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}]",1.1260619163513184
从七里河到临夏州，80内拼车,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7147109508514404
预约特价拼车和花小猪外接版到滨海新区，总价不超过60元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '花小猪外接版'}]","[{'拼车': '特价拼车'}, {'特价': '花小猪外接版'}]",1.3702571392059326
