query,可选车型组合,模型输出车型组合,正确车型组合,inference_latency
从武汉黄鹤楼打车到天河机场，用高德或者滴滴都可以。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'优享型': '飞嘀打车'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'经济型': '有序出行'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'经济型': '曹操出行'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'优享型': '首汽约车'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'品质专车': 'undefined'}, {'经济型': '妥妥E行'}]",[],[],0.15375947952270508
用滴滴叫辆专车从天津之眼到北京南站。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.24859619140625
预约一辆滴滴专车从陆家嘴到浦东机场，要求安静平稳。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.260211706161499
叫辆惊喜特价去鼓楼医院，两人不拼车，按导航走。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],0.5916821956634521
从南宁青秀山到吴圩机场，约一辆滴滴专车，车内宽敞可以休息。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'推荐': '滴滴特快'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.235051155090332
拼车去玄武湖，选特惠快车、极速拼车或鞍马聚的。,"[{'优享型': 'AA出行'}, {'出租车': 'undefined'}, {'经济型': '900出行'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'优享型': '东潮出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'经济型': '北京的士'}, {'经济型': '妥妥E行'}]","[{'': '极速拼车'}, {'': '特惠快车'}]","[{'': '极速拼车'}, {'': '特惠快车'}]",1.0972418785095215
预约惊喜特价21点准时从公司出发，选择最优路线回家。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],0.5928914546966553
打车去钟楼，允许所有价位车型,"[{'快速': '滴滴特快'}, {'推荐': '宽敞好车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'六座': '六座豪华车'}, {'推荐': '特快出租车'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '滴滴小巴'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5517518520355225
去红山地铁站，不要超过20块,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特快车': 'undefined'}, {'优享型': '首汽约车'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'优享型': 'AA出行'}]",[],[],0.15789175033569336
打车去南京一院，特惠快车、拼车或曹操出行。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '特惠快车'}]","[{'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '特惠快车'}]",2.1665799617767334
从黄鹤楼到天河机场，预约滴滴豪华车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'六座': '六座豪华车'}],[{'六座': '六座豪华车'}],0.7699096202850342
从星海广场到周水子机场，查下特惠快车、特价拼车和曹操出行哪个更省钱。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '特惠快车'}]",1.6693544387817383
打个特价拼车或特惠快车去正定机场，费用不超过60元。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]",1.247596263885498
预约一辆滴滴专车从长沙橘子洲头到黄花国际机场，要车内安静且车龄三年内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",[],1.2398097515106201
用特惠快车或特价拼车去最近的万达广场，预算30元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",1.7681784629821777
用特惠快车或特价拼车去双流机场，费用控制在60元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",1.7626533508300781
打车去三里屯，允许所有类型的车型。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'快速': '方舟行'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5424098968505859
从宁波天一阁到东钱湖景区，选特价拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7108397483825684
找个可以舒适出发车去二七纪念堂。,"[{'经济型': '橄榄新出租'}, {'优享型': '优e出行特选'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '享道出行'}, {'豪华型': '车型高端 服务专业'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'品质专车': '静音不打扰 整洁无异味'}, {'经济型': '添猫出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'快速出发': '无'}, {'轻享专车': '静音不打扰 整洁无异味'}, {'推荐': '推荐专车'}, {'优享型': '风韵出行'}, {'经济型': '旅程出租'}, {'优享型': '腾飞出行'}, {'出租车': '车多应答快'}, {'惠享专车': '添猫出行'}, {'惠享专车': '曹操出行'}, {'': '特惠快车'}, {'特快车': '超值体验 更快上车'}, {'经济型': '中军出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'经济': '首汽约车'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'优享型': '及时用车'}, {'经济型': '奇华出行'}, {'拼车': '特惠快车'}, {'经济型': '星徽出行'}, {'特价出发': '更多特价'}, {'推荐': '特惠快车'}]",[],[],0.16390585899353027
打车去明基医院，勾选特惠快车、特价拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]",1.2417187690734863
用滴滴专车从深圳湾体育中心到宝安机场，费用不超过120元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.264317274093628
用滴滴专车从星海广场到周水子机场，要车内环境安静整洁的。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",[{'舒适': '滴滴专车'}],1.2593481540679932
打车到青铜峡，拼车80内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7190587520599365
打车去红山地铁站，不能选拼车,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]","[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]",6.614244699478149
去新城区，商务车出行。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'特快车': 'undefined'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'经济型': '北京的士'}, {'经济型': '有序出行'}]",[{'六座商务': 'undefined'}],[{'六座商务': 'undefined'}],0.6946132183074951
打个特价拼车去萧山机场，价格不超过80元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7345302104949951
从橘子洲头到黄花机场，叫个特快出租车，要快。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'快速': '出租车'}],[{'快速': '出租车'}],0.5409932136535645
从家附近的地铁站打车去市中心的万象城，预算50元以内。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[],[],0.12732791900634766
打车要特价拼车去森林公园，别超45块。,"[{'快速': '滴滴特快'}, {'推荐': '宽敞好车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[],0.7354497909545898
西安钟楼到兵马俑景区，要一辆舒适点的专车，时间不要太赶。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]",[{'舒适': '滴滴专车'}],[{'舒适': '滴滴专车'}],0.6596136093139648
用滴滴豪华车从广州塔到白云机场，选最快的路线。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]",[{'舒适': '滴滴豪华车'}],[{'舒适': '滴滴豪华车'}],0.654923677444458
叫个特价拼车去大悦城，费用十五块以内。,"[{'快速': '滴滴特快'}, {'推荐': '宽敞好车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[],0.7319023609161377
用滴滴叫辆豪华车去高崎机场。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}]","[{'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}]",1.2396814823150635
