query,可选车型组合,模型输出车型组合,正确车型组合,inference_latency
叫辆舒适型的车去圆明园，价格便宜点。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'快速': '方舟行'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",1.135969877243042
打车去高淳老街，选特惠快车、拼车或叮叮出行。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'经济型': '神州专车'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'优享型': '阳光出行'}, {'优享型': 'T3出行'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '东潮出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'经济型': '星徽出行'}, {'优享型': 'AA出行'}, {'经济型': '妥妥E行'}]","[{'': '极速拼车'}, {'': '特惠快车'}]","[{'': '极速拼车'}, {'': '特惠快车'}]",1.097700834274292
打车去橘子洲，勾选特惠快车或特价拼车。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'轻享专车': 'undefined'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '有序出行'}, {'经济型': '5U出行'}, {'优享型': '全民GO'}, {'优享型': 'T3出行'}, {'优享型': '阳光出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'特快车': 'undefined'}, {'优享型': '星徽出行'}, {'优享型': '首汽约车'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'经济型': '深圳出租'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'品质专车': 'undefined'}, {'经济型': '妥妥E行'}]",[{'': '特惠快车'}],[{'': '特惠快车'}],0.6947147846221924
从深圳湾口岸打车到福田高铁站，要一辆新能源环保车型。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[],[],0.12324261665344238
用特价拼车去萧山机场，费用控制在30元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7107439041137695
用滴滴打车去外滩，允许所有价位车型。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5559425354003906
从鼓浪屿码头到高崎机场叫个特价拼车，费用控制在30元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7195076942443848
打车去公司，特惠快车、特价拼车或极速拼车，60元内。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '斑马快跑'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'品质专车': 'undefined'}, {'经济型': '妥妥E行'}]","[{'': '极速拼车'}, {'': '特惠快车'}]","[{'': '极速拼车'}, {'': '特惠快车'}]",1.1196517944335938
打车去南京理工大，特惠快车或出租不超过12元。,"[{'经济型': '中交出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '有序出行'}, {'经济型': '5U出行'}, {'优享型': '全民GO'}, {'经济型': '曹操出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '享道出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'经济型': '北京的士'}, {'经济型': '妥妥E行'}]","[{'出租车': 'undefined'}, {'': '特惠快车'}]","[{'出租车': 'undefined'}, {'': '特惠快车'}, {'经济型': '聚的新出租'}, {'经济型': '北京的士'}]",1.0462408065795898
水游城到夫子庙，拼车优先。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'拼车': '特价拼车'}],[],0.7145524024963379
叫个特价拼车去南站，价格控制在30元以内。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7124204635620117
苏州金鸡湖到拙政园，用滴滴打个优享吧，不要太贵。,"[{'推荐': '滴滴特快'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[],[],0.12529492378234863
用特惠快车或惊喜特价去周水子机场，选曹操出行或极速拼车也行，尽快出发。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '极速拼车'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'拼车': '极速拼车'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]",2.617274761199951
叫个惊喜特价去太原植物园，价格不超过50元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],0.5986065864562988
叫辆六座商务或专车去夫子庙。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'优享型': 'T3出行'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'特快车': 'undefined'}, {'经济型': '阳光出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'品质专车': 'undefined'}, {'经济型': '有序出行'}]","[{'轻享专车': 'undefined'}, {'优享型': '神州专车'}, {'六座商务': 'undefined'}, {'品质专车': 'undefined'}]","[{'轻享专车': 'undefined'}, {'优享型': '神州专车'}, {'六座商务': 'undefined'}, {'品质专车': 'undefined'}]",2.2831733226776123
预约特惠快车、极速拼车或六座专车前往双流机场，总费用不超过150元。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'推荐': '特惠快车'}]",1.3278415203094482
帮我叫辆车，从北京798艺术区到首都国际机场，要快一点的车型。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'快速': '滴滴特快'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]","[{'快速': '滴滴特快'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]",3.354722261428833
叫辆特惠快车去动物园，不能超40。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'经济型': '妥妥E行'}, {'经济型': 'AA出行'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'经济型': '北京的士'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'优享型': '首汽约车'}, {'经济型': '旗妙出行'}, {'优享型': '神州专车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': 'AA出行'}, {'经济型': '有序出行'}]",[{'': '特惠快车'}],[{'': '特惠快车'}],0.6853139400482178
叫辆滴滴专车去禄口机场，车要安静整洁，师傅能聊天的。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.2335710525512695
要极速拼车去景枫，不接受其他。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'经济型': '妥妥E行'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'': '极速拼车'}, {'优享型': '阳光出行'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'经济型': '腾飞出行'}, {'六座商务': 'undefined'}, {'优享型': 'AA出行'}, {'经济型': '有序出行'}]",[{'': '极速拼车'}],[{'': '极速拼车'}],0.6181957721710205
用特价拼车或特惠快车从呼和浩特大召寺到白塔机场，费用控制在60元内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '特惠快车'}]",1.7773265838623047
选特价拼车或惊喜特价车型从星海广场到金石滩景区，费用控制在150元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'特价': '惊喜特价'}]","[{'拼车': '特价拼车'}, {'特价': '惊喜特价'}]",1.1211817264556885
从黄鹤楼到天河机场，约辆滴滴豪华车，体验高端服务。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'舒适': '滴滴豪华车'}],[{'舒适': '滴滴豪华车'}],0.6603169441223145
叫个特惠快车去流亭机场。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'推荐': '特惠快车'}]",[{'推荐': '特惠快车'}],[{'推荐': '特惠快车'}],0.7164676189422607
打车从金凤区到吴忠，选舒适车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",[],1.1238105297088623
从天河城到白云机场，推荐特惠快车、惊喜特价、曹操出行、特价拼车，总费用不超过120元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '特惠快车'}]",1.6452486515045166
打车去颐和园，勾选所有价位的车。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5551307201385498
打的去机场，车型不限。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}]",[],[],0.14114689826965332
打车去西湖，所有车型都可以选上。,"[{'经济型': '橄榄新出租'}, {'经济型': '900出行'}, {'优享型': '曹操出行'}, {'经济型': '北京新出租'}, {'经济型': '国泰出租'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': '日初出行'}, {'经济型': '方舟行'}, {'优享型': '享道出行'}, {'推荐': '特惠快车'}, {'经济型': 'AA出行'}, {'豪华型': '车型高端 服务专业'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'品质专车': '静音不打扰 整洁无异味'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'快速出发': '无'}, {'轻享专车': '静音不打扰 整洁无异味'}, {'优享型': '风韵出行'}, {'经济型': '旅程出租'}, {'出租车': '车多应答快'}, {'惠享专车': '添猫出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'优享型': '首汽约车'}, {'经济型': '渔阳出行'}, {'经济型': '阳光出行'}, {'特快车': '超值体验 更快上车'}, {'经济型': '易至出行'}, {'特价出发': '更多特价'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济': '首汽约车'}, {'拼车': '出租车拼车'}, {'优享型': '神州专车'}, {'六座商务': '宽敞空间 商务体验'}, {'优享型': '及时用车'}, {'经济型': '奇华出行'}, {'优享型': '火箭出行'}, {'推荐': '推荐专车'}, {'特价出发': '惊喜特价'}, {'经济型': '北京的士'}, {'经济型': '有序出行'}]",[{'all': 'all'}],[{'all': 'all'}],0.5781705379486084
从兰州黄河铁桥到五泉山公园，叫个曹操出行。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'快速': '曹操出行'}],[{'快速': '曹操出行'}],0.5937540531158447
长沙五一广场到黄花机场，预算控制在100元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[],[],0.12499737739562988
