query,车辆候选列表,query.1,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
高德打个拼车去购物中心，价格不超过70元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-60|
|1|高德地图|     |特惠快车|63-63|
|2|高德地图|经济型|腾飞新出租|69|
|3|高德地图|经济型|享道出行|69|
|4|高德地图|经济型|聚的出租车|69|
|5|高德地图|经济型|日初出行|69|
|6|高德地图|经济型|深圳出租|70|
|7|高德地图|经济型|添猫出行|70|
|8|高德地图|经济型|妥妥E行|71|
|9|高德地图|经济型|J刻出行|71|
|10|高德地图|经济型|有序出行|71|
|11|高德地图|经济型|神州专车|71|
|12|高德地图|经济型|AA出行|71|
|13|高德地图|经济型|奇华出行|72|
|14|高德地图|经济型|900出行|72|
|15|高德地图|经济型|方舟行|72|
|16|高德地图|经济型|橄榄新出租|72|
|17|高德地图|经济型|风韵出行|72|
|18|高德地图|经济型|国泰出租|72|
|19|高德地图|经济型|5U出行|73|
|20|高德地图|经济型|北京新出租|73|
|21|高德地图|经济型|飞嘀打车|73|
|22|高德地图|特快车|超值体验 更快上车|80|
|23|高德地图|出租车|鞍马聚的-高档出租车|84|
|24|高德地图|优享型|妥妥E行|93|
|25|高德地图|优享型|风韵出行|93|
|26|高德地图|优享型|T3出行|94|
|27|高德地图|优享型|曹操出行|94|
|28|高德地图|优享型|环旅出行|94|
|29|高德地图|优享型|享道出行|94|
|30|高德地图|优享型|及时用车|95|
|31|高德地图|优享型|斑马快跑|95|
|32|高德地图|优享型|AA出行|95|
|33|高德地图|优享型|星徽出行|96|
|34|高德地图|优享型|阳光出行|97|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|104|
|36|高德地图|品质专车|静音不打扰 整洁无异味|116|
|37|高德地图|六座商务|宽敞空间 商务体验|129|
|38|高德地图|豪华型|车型高端 服务专业|138|
|39|高德地图|经济|首汽约车|154|
|40|高德地图|拼车|出租车拼车|171|
|41|高德地图|特价出发|更多特价|186|
|42|高德地图|快速出发|无|204|
|43|高德地图|惠享专车|精选车型 优质司机|223|
|44|高德地图|推荐|特惠快车|249|
|45|高德地图|豪华型|undefined|156-157|",高德打个拼车去购物中心，价格不超过70元。,"[{""app"": ""高德"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 70, ""fast"": False}]",高德,,拼车,,无,极速拼车,True,0,70,,,王笑,,,,,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': 'T3出行'}, {'优享型': '享道出行'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'优享型': '环旅出行'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '鞍马聚的-高档出租车'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'推荐': '特惠快车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'J刻出行'}, {'经济型': '享道出行'}, {'经济型': '北京新出租'}, {'经济型': '国泰出租'}, {'经济型': '奇华出行'}, {'经济型': '妥妥E行'}, {'经济型': '方舟行'}, {'经济型': '日初出行'}, {'经济型': '有序出行'}, {'经济型': '橄榄新出租'}, {'经济型': '深圳出租'}, {'经济型': '添猫出行'}, {'经济型': '神州专车'}, {'经济型': '聚的出租车'}, {'经济型': '腾飞新出租'}, {'经济型': '风韵出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",,高德打个拼车去购物中心，价格不超过70元。,拼车,极速拼车,
叫个拼车去大学城，价格在20到50元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|12.61|
|1|滴滴|推荐|特惠快车|12.85|
|2|滴滴|推荐|滴滴快车|14.75|
|3|滴滴|推荐|特快出租车|16.07|
|4|滴滴|推荐|滴滴特快|17.58|
|5|滴滴|拼车|特价拼车|11.73-13.32|
|6|滴滴|拼车|极速拼车|17.82-19.35|
|7|滴滴|特价|花小猪外接版|21.13|
|8|滴滴|快速|曹操出行|26.60|
|9|滴滴|快速|出租车|27.07|
|10|滴滴|快速|滴滴轻享|27.97|
|11|滴滴|快速|滴滴特快|28.11|
|12|滴滴|快速|滴滴优享|29.86|
|13|滴滴|快速|滴滴快车|30.11|
|14|滴滴|快速|宽敞好车|30.20|
|15|滴滴|快速|方舟行|30.32|
|16|滴滴|舒适|滴滴专车|49.18|
|17|滴滴|六座|六座专车|58.02|
|18|滴滴|六座|六座豪华车|60.40|",叫个拼车去大学城，价格在20到50元之间。,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 20, ""price_max"": 50, ""fast"": False}]",无,,拼车,,无,,True,20,50,,,王笑,,,,,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",,叫个拼车去大学城，价格在20到50元之间。,拼车,无,
高德叫个拼车去医院，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|50-53|
|1|高德地图|     |特惠快车|53-54|
|2|高德地图|经济型|中交出行|59|
|3|高德地图|经济型|J刻出行|60|
|4|高德地图|经济型|国泰出租|60|
|5|高德地图|经济型|T3出行|60|
|6|高德地图|经济型|5U出行|61|
|7|高德地图|经济型|易至出行|61|
|8|高德地图|经济型|旅程出租|61|
|9|高德地图|经济型|享道出行|61|
|10|高德地图|经济型|旗妙出行|61|
|11|高德地图|经济型|飞嘀打车|61|
|12|高德地图|经济型|聚的出租车|62|
|13|高德地图|经济型|东潮出行|62|
|14|高德地图|经济型|神州专车|62|
|15|高德地图|经济型|有序出行|62|
|16|高德地图|经济型|全民GO|63|
|17|高德地图|经济型|深圳出租|63|
|18|高德地图|经济型|首汽约车|63|
|19|高德地图|经济型|聚优出租|63|
|20|高德地图|特快车|超值体验 更快上车|68|
|21|高德地图|出租车|鞍马聚的-高档出租车|75|
|22|高德地图|优享型|妥妥E行|80|
|23|高德地图|优享型|全民GO|80|
|24|高德地图|优享型|T3出行|81|
|25|高德地图|优享型|火箭出行|81|
|26|高德地图|优享型|享道出行|81|
|27|高德地图|优享型|及时用车|81|
|28|高德地图|优享型|旗妙出行|82|
|29|高德地图|优享型|飞嘀打车|82|
|30|高德地图|优享型|东潮出行|82|
|31|高德地图|优享型|AA出行|83|
|32|高德地图|优享型|中交出行|83|
|33|高德地图|优享型|优e出行特选|83|
|34|高德地图|优享型|首汽约车|83|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|87|
|36|高德地图|品质专车|静音不打扰 整洁无异味|99|
|37|高德地图|六座商务|宽敞空间 商务体验|109|
|38|高德地图|豪华型|车型高端 服务专业|119|
|39|高德地图|经济|首汽约车|132|
|40|高德地图|拼车|出租车拼车|142|
|41|高德地图|特价出发|更多特价|158|
|42|高德地图|特价出发|惊喜特价|159|
|43|高德地图|快速出发|无|172|
|44|高德地图|惠享专车|T3出行|194|
|45|高德地图|推荐|极速拼车|213|
|46|高德地图|豪华型|undefined|134-137|",高德叫个拼车去医院，价格不限。,"[{""app"": ""高德"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",高德,,拼车,,无,极速拼车,True,0,100000,,,王笑,,,,,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '旗妙出行'}, {'优享型': '火箭出行'}, {'优享型': '飞嘀打车'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '鞍马聚的-高档出租车'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': 'J刻出行'}, {'经济型': 'T3出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '享道出行'}, {'经济型': '全民GO'}, {'经济型': '国泰出租'}, {'经济型': '旅程出租'}, {'经济型': '旗妙出行'}, {'经济型': '易至出行'}, {'经济型': '有序出行'}, {'经济型': '深圳出租'}, {'经济型': '神州专车'}, {'经济型': '聚优出租'}, {'经济型': '聚的出租车'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",,高德叫个拼车去医院，价格不限。,拼车,极速拼车,
滴滴打个拼车去体育馆，价格在35元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|23.97|
|1|滴滴|推荐|特惠快车|24.52|
|2|滴滴|推荐|滴滴快车|25.15|
|3|滴滴|推荐|特快出租车|25.91|
|4|滴滴|拼车|特价拼车|18.16-19.53|
|5|滴滴|拼车|极速拼车|20.99-22.07|
|6|滴滴|特价|花小猪外接版|28.89|
|7|滴滴|特价|惊喜特价|29.72|
|8|滴滴|快速|曹操出行|40.34|
|9|滴滴|快速|出租车|40.47|
|10|滴滴|快速|滴滴轻享|41.81|
|11|滴滴|快速|滴滴特快|42.04|
|12|滴滴|快速|滴滴优享|42.68|
|13|滴滴|快速|滴滴快车|42.71|
|14|滴滴|快速|宽敞好车|43.00|
|15|滴滴|快速|方舟行|43.60|
|16|滴滴|快速|长沙新出租|43.87|
|17|滴滴|快速|武汉新出租|44.59|
|18|滴滴|舒适|滴滴专车|49.66|
|19|滴滴|舒适|滴滴豪华车|50.09|
|20|滴滴|六座|六座专车|85.38|",滴滴打个拼车去体育馆，价格在35元左右。,"[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 35, ""price_max"": 35, ""fast"": False}]",滴滴,,拼车,,无,,True,35,35,,,王笑,,,,,"[{'六座': '六座专车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",,滴滴打个拼车去体育馆，价格在35元左右。,拼车,无,
打个拼车去展览馆，价格不超过60元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|31.15|
|1|滴滴|推荐|特惠快车|34.68|
|2|滴滴|推荐|滴滴快车|35.46|
|3|滴滴|推荐|特快出租车|35.98|
|4|滴滴|拼车|特价拼车|32.70-33.73|
|5|滴滴|拼车|极速拼车|29.01-30.03|
|6|滴滴|拼车|滴滴小巴|32.36-33.55|
|7|滴滴|特价|花小猪外接版|34.94|
|8|滴滴|特价|惊喜特价|36.14|
|9|滴滴|快速|曹操出行|56.23|
|10|滴滴|快速|出租车|56.38|
|11|滴滴|快速|滴滴轻享|57.09|
|12|滴滴|快速|滴滴特快|57.47|
|13|滴滴|快速|滴滴优享|57.67|
|14|滴滴|快速|滴滴快车|57.67|
|15|滴滴|快速|宽敞好车|57.83|
|16|滴滴|快速|方舟行|58.76|
|17|滴滴|快速|长沙新出租|59.67|
|18|滴滴|快速|武汉新出租|59.97|
|19|滴滴|舒适|滴滴专车|73.73|
|20|滴滴|六座|六座专车|118.90|
|21|滴滴|六座|六座豪华车|121.70|
|22|滴滴|六座|六座快车|122.23|",打个拼车去展览馆，价格不超过60元。,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 60, ""fast"": False}]",无,,拼车,,无,,True,0,60,,,王笑,,,,,"[{'六座': '六座专车'}, {'六座': '六座快车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",,打个拼车去展览馆，价格不超过60元。,拼车,无,
滴滴叫个拼车去地铁站，价格在25到55元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|32.74|
|1|滴滴|推荐|特惠快车|35.70|
|2|滴滴|推荐|滴滴快车|37.15|
|3|滴滴|推荐|特快出租车|37.60|
|4|滴滴|推荐|滴滴特快|37.90|
|5|滴滴|拼车|特价拼车|35.96-37.79|
|6|滴滴|拼车|极速拼车|33.08-34.73|
|7|滴滴|拼车|滴滴小巴|33.19-34.90|
|8|滴滴|特价|花小猪外接版|42.87|
|9|滴滴|特价|惊喜特价|46.98|
|10|滴滴|快速|曹操出行|61.62|
|11|滴滴|快速|出租车|62.17|
|12|滴滴|快速|滴滴轻享|64.58|
|13|滴滴|快速|滴滴特快|65.06|
|14|滴滴|快速|滴滴优享|65.87|
|15|滴滴|快速|滴滴快车|66.03|
|16|滴滴|快速|宽敞好车|66.20|
|17|滴滴|舒适|滴滴专车|87.29|
|18|滴滴|六座|六座专车|109.34|
|19|滴滴|六座|六座豪华车|112.19|",滴滴叫个拼车去地铁站，价格在25到55元之间。,"[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 25, ""price_max"": 55, ""fast"": False}]",滴滴,,拼车,,无,,True,25,55,,,王笑,,,,,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",,滴滴叫个拼车去地铁站，价格在25到55元之间。,拼车,无,
